Industry,Company,Financial_Metric,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Automobiles,ASHOKLEY,Depreciation,,,,,,,,,530.0,580.0,524.0,573.0,646.0,676.0,750.0,836.0,866.0,900.0,927.0
Automobiles,ASHOKLEY,Ebit,,,,,,,,,422.0,1517.0,2979.0,3045.0,4248.0,4910.0,3233.0,2462.0,2765.0,5093.0,7943.0
Automobiles,ASHOKLEY,Eps In Rs,,,,,,,,,-0.62,0.47,2.4,5.58,6.01,7.08,1.15,-0.56,-1.22,4.22,8.46
Automobiles,ASHOKLEY,Expenses,,,,,,,,,11437.0,14191.0,18281.0,19826.0,25387.0,28287.0,18718.0,16992.0,23472.0,36580.0,37848.0
Automobiles,ASHOKLEY,Interest,,,,,,,,,805.0,872.0,925.0,1049.0,1227.0,1502.0,1802.0,1901.0,1869.0,2094.0,2982.0
Automobiles,ASHOKLEY,Other Income,,,,,,,,,613.0,-106.0,-321.0,406.0,190.0,139.0,57.0,207.0,-230.0,166.0,73.0
Automobiles,ASHOKLEY,Pat,,,,,,,,,-222.0,-205.0,712.0,1633.0,1814.0,2195.0,460.0,-70.0,-285.0,1359.0,2696.0
Automobiles,ASHOKLEY,Pbt,,,,,,,,,-300.0,-42.0,1209.0,1829.0,2565.0,2872.0,739.0,-67.0,-200.0,2265.0,4106.0
Automobiles,ASHOKLEY,Revenue,,,,,,,,,11859.0,15708.0,21260.0,22871.0,29636.0,33197.0,21951.0,19454.0,26237.0,41673.0,45791.0
Automobiles,BAJAJ-AUTO,Depreciation,,,,,,,,168.0,181.0,267.0,307.0,307.0,315.0,266.0,246.0,259.0,270.0,286.0,365.0
Automobiles,BAJAJ-AUTO,Ebit,,,,,,,,3656.0,4163.0,4128.0,4793.0,4429.0,4846.0,5198.0,5109.0,4938.0,5259.0,6465.0,8765.0
Automobiles,BAJAJ-AUTO,Eps In Rs,,,,,,,,108.26,116.82,104.56,140.35,140.98,145.8,170.29,180.11,167.85,213.08,214.17,276.1
Automobiles,BAJAJ-AUTO,Expenses,,,,,,,,16370.0,15974.0,17467.0,17781.0,17326.0,20364.0,25160.0,24809.0,22803.0,27886.0,29991.0,36106.0
Automobiles,BAJAJ-AUTO,Interest,,,,,,,,1.0,1.0,6.0,1.0,1.0,1.0,4.0,3.0,7.0,9.0,40.0,60.0
Automobiles,BAJAJ-AUTO,Other Income,,,,,,,,790.0,674.0,228.0,1194.0,1468.0,1404.0,2028.0,1832.0,1570.0,2671.0,1703.0,1700.0
Automobiles,BAJAJ-AUTO,Pat,,,,,,,,3133.0,3380.0,3026.0,4061.0,4079.0,4219.0,4928.0,5212.0,4857.0,6166.0,6060.0,7708.0
Automobiles,BAJAJ-AUTO,Pbt,,,,,,,,4277.0,4655.0,4083.0,5679.0,5588.0,5933.0,6956.0,6692.0,6241.0,7652.0,7842.0,10040.0
Automobiles,BAJAJ-AUTO,Revenue,,,,,,,,20025.0,20137.0,21595.0,22574.0,21755.0,25210.0,30358.0,29919.0,27741.0,33145.0,36455.0,44870.0
Automobiles,EICHERMOT,Depreciation,,,,,,,82.0,130.0,220.0,,137.0,154.0,223.0,300.0,382.0,451.0,452.0,526.0,598.0
Automobiles,EICHERMOT,Ebit,,,,,,,550.0,715.0,1118.0,,1690.0,2174.0,2809.0,2904.0,2183.0,1783.0,2178.0,3446.0,4329.0
Automobiles,EICHERMOT,Eps In Rs,,,,,,,12.01,14.57,22.71,,49.27,61.27,71.89,80.75,66.91,49.28,61.32,106.55,146.13
Automobiles,EICHERMOT,Expenses,,,,,,,5840.0,6094.0,7621.0,,4484.0,4859.0,6156.0,6893.0,6971.0,6937.0,8120.0,10996.0,12206.0
Automobiles,EICHERMOT,Interest,,,,,,,4.0,8.0,10.0,,2.0,4.0,5.0,7.0,19.0,16.0,19.0,28.0,51.0
Automobiles,EICHERMOT,Other Income,,,,,,,136.0,93.0,105.0,,326.0,416.0,536.0,701.0,572.0,482.0,496.0,908.0,1521.0
Automobiles,EICHERMOT,Pat,,,,,,,475.0,525.0,702.0,,1338.0,1667.0,1960.0,2203.0,1827.0,1347.0,1677.0,2914.0,4001.0
Automobiles,EICHERMOT,Pbt,,,,,,,600.0,671.0,993.0,,1877.0,2433.0,3116.0,3297.0,2355.0,1798.0,2203.0,3800.0,5202.0
Automobiles,EICHERMOT,Revenue,,,,,,,6390.0,6810.0,8738.0,,6173.0,7033.0,8965.0,9797.0,9154.0,8720.0,10298.0,14442.0,16536.0
Automobiles,HEROMOTOCO,Depreciation,,,,,,,,,1107.0,540.0,443.0,502.0,575.0,624.0,846.0,715.0,690.0,697.0,757.0
Automobiles,HEROMOTOCO,Ebit,,,,,,,,,3553.0,3520.0,4424.0,4585.0,5334.0,5025.0,4070.0,4058.0,3256.0,4099.0,5235.0
Automobiles,HEROMOTOCO,Eps In Rs,,,,,,,,,105.3,118.42,157.34,179.49,186.29,172.44,182.14,146.05,115.95,140.61,187.31
Automobiles,HEROMOTOCO,Expenses,,,,,,,,,21722.0,24018.0,24033.0,24025.0,27124.0,28946.0,25184.0,26902.0,26295.0,30060.0,32554.0
Automobiles,HEROMOTOCO,Interest,,,,,,,,,12.0,12.0,15.0,27.0,31.0,37.0,47.0,46.0,53.0,105.0,76.0
Automobiles,HEROMOTOCO,Other Income,,,,,,,,,430.0,325.0,421.0,830.0,564.0,741.0,1434.0,553.0,545.0,567.0,689.0
Automobiles,HEROMOTOCO,Pat,,,,,,,,,2102.0,2364.0,3112.0,3546.0,3722.0,3466.0,3659.0,2936.0,2329.0,2800.0,3742.0
Automobiles,HEROMOTOCO,Pbt,,,,,,,,,2864.0,3292.0,4387.0,4885.0,5292.0,5104.0,4611.0,3849.0,3058.0,3864.0,5090.0
Automobiles,HEROMOTOCO,Revenue,,,,,,,,,25275.0,27538.0,28457.0,28610.0,32458.0,33971.0,29254.0,30959.0,29551.0,34158.0,37789.0
Automobiles,M&M,Depreciation,,,,,,,,2080.0,2170.0,2124.0,2442.0,2813.0,3280.0,3991.0,3367.0,3378.0,3508.0,4357.0,4724.0
Automobiles,M&M,Ebit,,,,,,,,9116.0,10170.0,8793.0,10082.0,10735.0,13226.0,15207.0,10158.0,11487.0,14683.0,20285.0,24892.0
Automobiles,M&M,Eps In Rs,,,,,,,,33.38,37.89,25.26,25.35,29.77,60.41,42.76,1.02,14.58,52.91,82.68,90.62
Automobiles,M&M,Expenses,,,,,,,,59578.0,63830.0,62655.0,65759.0,73038.0,78868.0,89514.0,65224.0,62791.0,75488.0,100983.0,114186.0
Automobiles,M&M,Interest,,,,,,,,2297.0,2954.0,3157.0,3368.0,3648.0,3987.0,5021.0,6021.0,6102.0,5018.0,5830.0,7488.0
Automobiles,M&M,Other Income,,,,,,,,841.0,773.0,800.0,1399.0,2077.0,4366.0,2676.0,885.0,1152.0,3204.0,3961.0,3298.0
Automobiles,M&M,Pat,,,,,,,,4129.0,5154.0,3381.0,3554.0,4051.0,7958.0,6017.0,-321.0,1512.0,7253.0,11374.0,12270.0
Automobiles,M&M,Pbt,,,,,,,,5580.0,5820.0,4313.0,5672.0,6350.0,10326.0,8871.0,1655.0,3158.0,9362.0,14060.0,15978.0
Automobiles,M&M,Revenue,,,,,,,,68693.0,74001.0,71448.0,75841.0,83773.0,92094.0,104721.0,75382.0,74278.0,90171.0,121269.0,139078.0
Automobiles,MARUTI,Depreciation,,,,,,,,1890.0,2116.0,2515.0,2822.0,2604.0,2760.0,3021.0,3528.0,3034.0,2789.0,4846.0,5256.0
Automobiles,MARUTI,Ebit,,,,,,,,4361.0,5310.0,6892.0,9024.0,10421.0,12118.0,11056.0,7355.0,5411.0,5752.0,13122.0,18626.0
Automobiles,MARUTI,Eps In Rs,,,,,,,,81.74,94.44,126.04,181.98,248.61,260.86,253.21,187.9,145.3,128.43,273.56,429.01
Automobiles,MARUTI,Expenses,,,,,,,,39944.0,39232.0,43909.0,48565.0,57664.0,67692.0,75012.0,68305.0,64961.0,82578.0,105288.0,123232.0
Automobiles,MARUTI,Interest,,,,,,,,198.0,184.0,218.0,82.0,89.0,346.0,76.0,134.0,102.0,127.0,252.0,194.0
Automobiles,MARUTI,Other Income,,,,,,,,797.0,724.0,817.0,1464.0,2399.0,2155.0,2664.0,3410.0,3046.0,1861.0,2415.0,4248.0
Automobiles,MARUTI,Pat,,,,,,,,2470.0,2854.0,3809.0,5497.0,7511.0,7881.0,7651.0,5678.0,4389.0,3880.0,8264.0,13488.0
Automobiles,MARUTI,Pbt,,,,,,,,3070.0,3734.0,4976.0,7585.0,10127.0,11167.0,10624.0,7103.0,5321.0,4697.0,10438.0,17424.0
Automobiles,MARUTI,Revenue,,,,,,,,44304.0,44542.0,50801.0,57589.0,68085.0,79809.0,86068.0,75660.0,70372.0,88330.0,118410.0,141858.0
Automobiles,TATAMOTORS,Depreciation,,,,,,,,7601.0,11078.0,13389.0,16711.0,17905.0,21554.0,23591.0,21425.0,23547.0,24836.0,24860.0,27270.0
Automobiles,TATAMOTORS,Ebit,,,,,,,,24596.0,34853.0,39239.0,38395.0,29589.0,31458.0,24664.0,17987.0,32287.0,24720.0,31816.0,59538.0
Automobiles,TATAMOTORS,Eps In Rs,,,,,,,,34.62,48.46,48.44,40.11,25.82,31.13,-99.84,-39.08,-40.51,-34.46,7.27,94.47
Automobiles,TATAMOTORS,Expenses,,,,,,,,164197.0,197980.0,223920.0,234650.0,240104.0,260093.0,277274.0,243081.0,217507.0,253734.0,314151.0,378389.0
Automobiles,TATAMOTORS,Interest,,,,,,,,3560.0,4749.0,4861.0,4889.0,4238.0,4682.0,5759.0,7243.0,8097.0,9312.0,10225.0,9986.0
Automobiles,TATAMOTORS,Other Income,,,,,,,,213.0,-157.0,714.0,-2670.0,1869.0,5933.0,-26686.0,102.0,-11118.0,2424.0,6664.0,5673.0
Automobiles,TATAMOTORS,Pat,,,,,,,,9976.0,14050.0,14073.0,11678.0,7557.0,9091.0,-28724.0,-11975.0,-13395.0,-11309.0,2690.0,31807.0
Automobiles,TATAMOTORS,Pbt,,,,,,,,13647.0,18869.0,21703.0,14126.0,9315.0,11155.0,-31371.0,-10580.0,-10474.0,-7003.0,3394.0,27955.0
Automobiles,TATAMOTORS,Revenue,,,,,,,,188793.0,232834.0,263159.0,273046.0,269693.0,291550.0,301938.0,261068.0,249795.0,278454.0,345967.0,437928.0
Automobiles,TVSMOTOR,Depreciation,,,,,,,,176.0,149.0,179.0,262.0,317.0,374.0,442.0,556.0,565.0,743.0,859.0,975.0
Automobiles,TVSMOTOR,Ebit,,,,,,,,438.0,492.0,605.0,819.0,871.0,1571.0,2163.0,2264.0,2232.0,2755.0,4027.0,5500.0
