Financial Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,11859,15708,21260,22871,29636,33197,21951,19454,26237,41673,45791,47445
Expenses,11437,14191,18281,19826,25387,28287,18718,16992,23472,36580,37848,38598
Operating Profit,422,1517,2979,3045,4248,4910,3233,2462,2765,5093,7943,8847
OPM,4,10,14,13,14,15,15,13,11,12,17,19
Other Income,613,-106,-321,406,190,139,57,207,-230,166,73,331
Interest,805,872,925,1049,1227,1502,1802,1901,1869,2094,2982,3707
Depreciation,530,580,524,573,646,676,750,836,866,900,927,980
Profit before tax,-300,-42,1209,1829,2565,2872,739,-67,-200,2265,4106,4491
Tax,-23,415,41,11,29,24,38,4,43,40,34,4491
Net Profit,-222,-205,712,1633,1814,2195,460,-70,-285,1359,2696,3071
EPS in Rs,-0.62,0.47,2.4,5.58,6.01,7.08,1.15,-0.56,-1.22,4.22,8.46,9.63
Dividend Payout,0,96,40,28,40,44,44,-107,-82,62,59,9.63
