Financial Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,6660,9927,8470,9600,10400,13203,9691,11429,11093,13578,10724,11148,11995
Expenses,6002,8733,7701,8580,9055,11245,8183,9559,9131,10975,8856,9108,9659
Operating Profit,658,1194,770,1020,1344,1958,1509,1870,1961,2603,1868,2040,2336
OPM,10,12,9,11,13,15,16,16,18,19,17,18,19
Other Income,-34,-233,5,32,36,97,53,-1,46,-25,36,245,75
Interest,465,463,467,499,545,582,655,715,783,829,904,962,1011
Depreciation,214,234,212,209,220,259,227,227,241,233,235,244,268
Profit before tax,-56,264,96,344,615,1214,679,927,984,1516,765,1078,1132
Tax,92,40,77,46,43,34,14,39,38,38,28,29,28
Net Profit,-108,158,22,186,351,803,584,569,609,934,551,767,820
EPS in Rs,-0.41,0.48,0.02,0.56,1.09,2.56,1.85,1.79,1.91,2.91,1.73,2.4,2.59
