Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,289,289,289,289,289,289,289,289,289,289,283,279,279
Reserves,7776,9878,10806,13731,17567,20136,22944,21373,26984,29570,29079,28683,30700
Borrowings,116,59,112,118,120,121,125,126,121,123,124,1912,5245
Other Liabilities,4461,5081,4758,3102,3661,4595,5476,4722,6207,5129,5651,8470,9618
Total Liabilities,12642,15308,15966,17240,21638,25141,28834,26510,33602,35111,35136,39344,45842
Fixed Assets,2355,2660,2448,2026,2002,1878,1764,1699,1668,1836,2842,3217,3214
CWIP,294,144,255,52,42,56,48,60,16,77,85,35,141
Investments,6059,8448,8985,11067,15477,18895,20603,19914,24687,26634,26183,28087,28552
Other Assets,3934,4056,4277,4095,4117,4312,6420,4837,7232,6564,6026,8005,13934
Total Assets,12642,15308,15966,17240,21638,25141,28834,26510,33602,35111,35136,39344,45842
