Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,20025,20137,21595,22574,21755,25210,30358,29919,27741,33145,36455,44870,49903
Expenses,16370,15974,17467,17781,17326,20364,25160,24809,22803,27886,29991,36106,40424
Operating Profit,3656,4163,4128,4793,4429,4846,5198,5109,4938,5259,6465,8765,9479
OPM,18,21,19,21,20,19,17,17,18,16,18,20,19
Other Income,790,674,228,1194,1468,1404,2028,1832,1570,2671,1703,1700,1526
Interest,1,1,6,1,1,1,4,3,7,9,40,60,272
Depreciation,168,181,267,307,307,315,266,246,259,270,286,365,388
Profit before tax,4277,4655,4083,5679,5588,5933,6956,6692,6241,7652,7842,10040,10345
Tax,29,31,31,28,27,29,29,22,22,19,23,23,10345
Net Profit,3133,3380,3026,4061,4079,4219,4928,5212,4857,6166,6060,7708,7534
EPS in Rs,108.26,116.82,104.56,140.35,140.98,145.8,170.29,180.11,167.85,213.08,214.17,276.1,269.83
Dividend Payout,42,43,48,39,39,41,35,67,83,66,65,29,269.83
