Financial Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,9022,7975,8005,10203,9319,8929,10312,10838,12165,11555,11932,13247,13169
Expenses,7650,6614,6719,8453,7561,7272,8380,8708,9750,9271,9562,11174,10418
Operating Profit,1371,1361,1286,1750,1757,1657,1932,2130,2415,2284,2370,2073,2751
OPM,15,17,16,17,19,19,19,20,20,20,20,16,21
Other Income,489,666,320,532,271,595,351,552,356,444,335,399,348
Interest,2,3,4,11,8,16,12,7,12,30,47,75,120
Depreciation,70,70,68,67,75,76,87,92,93,93,95,98,102
Profit before tax,1788,1954,1534,2203,1945,2160,2184,2584,2666,2606,2564,2299,2876
Tax,20,22,24,22,24,21,25,22,24,23,24,40,24
Net Profit,1430,1526,1163,1719,1473,1705,1644,2020,2033,2011,1942,1385,2196
EPS in Rs,49.41,52.74,40.2,59.42,52.05,60.25,58.11,71.39,71.78,72.05,69.55,49.61,78.62
