Financial Metric,Dec 2012,Dec 2013,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,27,27,27,27,27,27,27,27,27,27,27,27,27
Reserves,1728,2028,2489,3626,5318,7003,8891,9954,11411,12581,14963,18018,18952
Borrowings,23,84,58,23,112,151,187,249,219,108,288,419,404
Other Liabilities,2694,3197,3829,1263,1552,2341,2281,2220,2901,3424,3919,4650,4997
Total Liabilities,4471,5337,6403,4939,7009,9522,11387,12450,14559,16140,19198,23115,24380
Fixed Assets,992,1656,2309,790,873,1502,1875,2378,2433,2424,2690,2914,3490
CWIP,504,464,419,94,374,333,450,312,314,505,472,555,230
Investments,638,825,1078,3388,4987,5581,4923,5749,3902,7721,12321,13527,14693
Other Assets,2337,2391,2597,667,775,2106,4140,4011,7909,5490,3715,6119,5968
Total Assets,4471,5337,6403,4939,7009,9522,11387,12450,14559,16140,19198,23115,24380
