Financial Metric,Dec 2012,Dec 2013,Dec 2014,"Mar 2016
            
              15m",Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,6390,6810,8738,6173,7033,8965,9797,9154,8720,10298,14442,16536,17885
Expenses,5840,6094,7621,4484,4859,6156,6893,6971,6937,8120,10996,12206,13302
Operating Profit,550,715,1118,1690,2174,2809,2904,2183,1783,2178,3446,4329,4583
OPM,9,11,13,27,31,31,30,24,20,21,24,26,26
Other Income,136,93,105,326,416,536,701,572,482,496,908,1521,1813
Interest,4,8,10,2,4,5,7,19,16,19,28,51,54
Depreciation,82,130,220,137,154,223,300,382,451,452,526,598,693
Profit before tax,600,671,993,1877,2433,3116,3297,2355,1798,2203,3800,5202,5649
Tax,21,22,29,29,30,30,33,22,25,24,23,23,5649
Net Profit,475,525,702,1338,1667,1960,2203,1827,1347,1677,2914,4001,4443
EPS in Rs,12.01,14.57,22.71,49.27,61.27,71.89,80.75,66.91,49.28,61.32,106.55,146.13,162.15
Dividend Payout,17,21,22,20,16,15,15,19,34,34,35,35,162.15
