Financial Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,2881,3193,3397,3519,3721,3804,3986,4115,4179,4256,4393,4263,4973
Expenses,2298,2436,2566,2698,2864,2871,2966,3027,3089,3127,3228,3175,3772
Operating Profit,582,757,831,822,857,934,1021,1087,1090,1129,1165,1088,1201
OPM,20,24,24,23,23,25,26,26,26,27,27,26,24
Other Income,128,172,82,193,256,379,344,375,368,437,457,468,452
Interest,6,3,5,7,8,8,10,13,12,15,12,13,13
Depreciation,111,119,116,127,135,148,142,143,148,165,169,180,179
Profit before tax,593,806,792,880,971,1156,1212,1307,1298,1385,1441,1362,1461
Tax,23,24,23,25,24,22,24,22,23,23,24,19,20
Net Profit,456,610,611,657,741,906,918,1016,996,1070,1101,1100,1170
EPS in Rs,16.68,22.31,22.33,24.02,27.09,33.11,33.58,37.12,36.38,39.1,40.2,40.15,42.7
