Financial Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,40,40,40,40,40,40,40,40,40,40,40,40
Reserves,5583,6500,8794,10276,11932,13080,14366,15376,15807,16616,17659,18971
Borrowings,284,100,232,261,228,312,453,584,605,568,606,588
Other Liabilities,4215,4014,3829,4736,5197,5072,4815,7096,6027,6694,7847,9663
Total Liabilities,10122,10654,12896,15312,17397,18504,19674,23096,22478,23917,26153,29261
Fixed Assets,2247,2952,3784,4599,4961,4952,6473,6380,6194,6159,6232,6588
CWIP,855,719,653,581,355,573,391,495,517,454,484,145
Investments,4106,3118,4501,6066,7669,6114,8359,10582,10528,10891,12751,14980
Other Assets,2914,3864,3958,4066,4411,6865,4451,5639,5240,6413,6685,7548
Total Assets,10122,10654,12896,15312,17397,18504,19674,23096,22478,23917,26153,29261
