Financial Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,8013,7497,8448,9158,8118,8434,8851,9533,9788,9617,10211,10483,10260
Expenses,7030,6661,7527,8096,7177,7345,7734,8174,8403,8298,8804,9033,8844
Operating Profit,983,836,920,1062,942,1089,1117,1360,1385,1319,1407,1450,1416
OPM,12,11,11,12,12,13,13,14,14,14,14,14,14
Other Income,140,131,56,94,265,238,66,213,288,177,225,239,306
Interest,13,13,14,48,24,19,21,25,23,8,19,18,17
Depreciation,174,168,173,173,172,180,180,187,194,197,205,206,209
Profit before tax,936,786,789,936,1011,1128,982,1360,1456,1292,1408,1464,1497
Tax,25,21,26,27,29,28,29,26,25,27,27,27,26
Net Profit,704,621,586,682,721,811,701,1007,1091,943,1032,1066,1108
EPS in Rs,35.22,30.6,29.55,34.45,36.33,40.29,35.53,50.35,54.7,46.77,52.31,53.19,55.38
