Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,295,295,296,270,311,543,544,554,555,556,557,557,558
Reserves,19666,23012,25561,26222,29467,36232,39439,39415,41027,46567,55809,65633,69944
Borrowings,28711,35167,37911,41553,48762,55898,70848,82092,80625,77605,92247,108647,116844
Other Liabilities,27460,29415,30608,31806,35296,43696,51057,43655,42762,47661,55670,59884,67934
Total Liabilities,76131,87889,94376,99852,113835,136369,161889,165716,164968,172388,204283,234722,255280
Fixed Assets,18307,18381,19047,20585,20989,26182,28983,29689,21380,26018,27140,28129,35328
CWIP,1631,2191,3032,2371,4279,4269,4760,6856,7873,6703,3969,8039,4544
Investments,6440,8082,10027,11603,14662,16018,18268,19210,28778,30060,35272,35208,34411
Other Assets,49752,59234,62270,65293,73905,89900,109878,109960,106938,109607,137902,163345,180997
Total Assets,76131,87889,94376,99852,113835,136369,161889,165716,164968,172388,204283,234722,255280
