Financial Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,23594,25934,28414,29870,30621,32456,33892,34436,35299,35452,37218,37924,41470
Expenses,19068,21657,24016,24802,25368,26798,27642,28706,29075,28848,29975,30790,33239
Operating Profit,4526,4278,4399,5068,5254,5658,6249,5730,6224,6604,7243,7133,8231
OPM,19,16,15,17,17,17,18,17,18,19,19,19,20
Other Income,815,1135,675,1348,1184,662,1065,812,756,750,733,1126,719
Interest,1211,1222,1219,1382,1596,1634,1719,1835,1945,1989,2108,2217,2362
Depreciation,919,935,960,1092,1110,1194,1128,1139,1123,1335,1248,1302,1495
Profit before tax,3211,3256,2894,3943,3732,3492,4468,3568,3912,4030,4621,4740,5092
Tax,23,20,18,23,20,14,18,30,24,22,23,29,29
Net Profit,2485,2608,2361,3021,2994,2998,3684,2484,2977,3125,3546,3361,3624
EPS in Rs,15.99,18,17.66,22.3,21.53,21.2,28.21,18.88,21.38,22.15,26.4,25.5,25.58
