Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,151,151,151,151,151,151,151,151,151,151,157,157,157
Reserves,18877,21345,24167,30465,36924,42408,46941,49262,52350,55182,74443,85479,88969
Borrowings,1569,2004,666,231,484,121,160,184,541,426,1248,119,158
Other Liabilities,6920,7975,9492,11879,14402,17568,16717,14031,18335,18896,24258,29550,32412
Total Liabilities,27517,31476,34477,42726,51960,60248,63969,63628,71376,74656,100106,115304,121696
Fixed Assets,10022,11034,12490,12530,13311,13389,15437,15744,14989,13747,27941,27865,29337
CWIP,1966,2640,1890,1007,1252,2132,1607,1415,1497,2936,4143,7735,8303
Investments,7421,10527,13298,20676,29151,36123,37504,37488,42945,42035,49184,57296,57820
Other Assets,8107,7275,6800,8513,8247,8604,9421,8980,11946,15937,18837,22408,26237
Total Assets,27517,31476,34477,42726,51960,60248,63969,63628,71376,74656,100106,115304,121696
