Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,44304,44542,50801,57589,68085,79809,86068,75660,70372,88330,118410,141858,150464
Expenses,39944,39232,43909,48565,57664,67692,75012,68305,64961,82578,105288,123232,130061
Operating Profit,4361,5310,6892,9024,10421,12118,11056,7355,5411,5752,13122,18626,20403
OPM,10,12,14,16,15,15,13,10,8,7,11,13,14
Other Income,797,724,817,1464,2399,2155,2664,3410,3046,1861,2415,4248,5074
Interest,198,184,218,82,89,346,76,134,102,127,252,194,223
Depreciation,1890,2116,2515,2822,2604,2760,3021,3528,3034,2789,4846,5256,5445
Profit before tax,3070,3734,4976,7585,10127,11167,10624,7103,5321,4697,10438,17424,19810
Tax,20,24,24,28,26,29,28,20,18,17,21,23,19810
Net Profit,2470,2854,3809,5497,7511,7881,7651,5678,4389,3880,8264,13488,14541
EPS in Rs,81.74,94.44,126.04,181.98,248.61,260.86,253.21,187.9,145.3,128.43,273.56,429.01,462.51
Dividend Payout,10,13,20,19,30,31,32,32,31,47,34,29,462.51
