Financial Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,23253,26749,26512,29942,29251,32214,32535,37339,33513,38471,35779,37449,38764
Expenses,21691,24320,24597,27172,25878,28320,29015,32028,29073,33250,30673,32450,33688
Operating Profit,1562,2429,1915,2771,3373,3894,3520,5312,4440,5221,5107,4999,5076
OPM,7,9,7,9,12,12,11,14,13,14,14,13,13
Other Income,355,514,112,662,893,850,1110,958,1053,1261,1118,1570,1125
Interest,25,56,28,31,30,164,46,35,36,76,57,43,46
Depreciation,641,648,652,723,1209,1240,1314,1342,1302,1298,1332,1386,1429
Profit before tax,1252,2239,1347,2679,3027,3341,3269,4892,4156,5108,4836,5141,4726
Tax,17,16,23,21,21,20,22,23,23,23,22,40,21
Net Profit,1042,1876,1036,2112,2406,2688,2543,3786,3207,3952,3760,3102,3727
EPS in Rs,34.49,62.1,34.3,69.93,79.65,88.97,84.18,125.34,102,125.71,119.58,98.68,118.54
