Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,638,644,644,679,679,679,679,720,766,766,766,766,736
Reserves,36999,64960,55618,78273,57383,94749,59500,62359,54481,43795,44556,84152,100326
Borrowings,53716,60642,73610,69360,78604,88950,106175,124788,142131,146449,134113,107262,106549
Other Liabilities,76977,92180,107442,114872,135914,142813,139349,132313,144193,138051,155239,177340,183045
Total Liabilities,168330,218426,237315,263184,272580,327192,305703,320179,341570,329061,334674,369521,390656
Fixed Assets,55512,69092,88479,107232,95944,121414,111234,127107,138708,138855,132080,121285,157718
CWIP,18454,33263,28640,25919,33699,40034,31884,35622,20964,10251,14274,35698,15526
Investments,8765,10687,15337,23767,20338,20813,15771,16308,24620,29380,26379,22971,33381
Other Assets,85600,105385,104858,106266,122600,144932,146814,141141,157278,150575,161941,189566,184031
Total Assets,168330,218426,237315,263184,272580,327192,305703,320179,341570,329061,334674,369521,390656
