Financial Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,72229,78439,71935,79611,88489,105932,102236,105129,110577,119986,108048,101450,113575
Expenses,65151,70156,69522,74039,77668,92818,89019,91362,95159,102851,92263,89291,100532
Operating Profit,7078,8283,2413,5572,10820,13114,13217,13767,15418,17135,15785,12159,13043
OPM,10,11,3,7,12,12,13,13,14,14,15,12,11
Other Income,789,189,2381,1351,1130,1453,895,1557,1604,1619,1747,1647,1764
Interest,2401,2381,2421,2487,2676,2642,2615,2652,2485,2234,2088,2034,1725
Depreciation,6078,6432,5841,5897,6072,7050,6633,6637,6850,7151,6574,6005,5408
Profit before tax,-612,-341,-3468,-1461,3203,4875,4864,6035,7687,9369,8870,5767,7674
Tax,119,222,44,-31,8,-13,32,36,7,-87,36,40,27
Net Profit,-1451,-992,-4951,-898,3043,5496,3301,3832,7145,17529,5692,3450,5578
EPS in Rs,-4.57,-3.11,-15.08,-2.84,8.91,16.28,9.64,11.33,21.14,52.37,16.74,9.08,14.81
