Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,468,470,474,477,479,513,514,564,613,614,615,617,619
Reserves,32690,37926,44475,53082,55901,63694,67288,85776,102981,117647,129166,156406,170784
Deposits,252149,280541,322244,358302,414983,455658,550746,642157,698303,821165,945825,1067102,1084699
Borrowing,44105,52739,84394,113848,112455,155767,161250,155180,152249,199778,206214,228200,225217
Other Liabilities,11145,14674,15656,20678,27644,28071,34248,44194,46859,56576,62598,65913,70903
Total Liabilities,340558,386350,467243,546387,611462,703703,814046,927872,1001005,1195779,1344418,1518239,1552222
Fixed Assets,2245,2346,2447,3358,3518,3697,3842,3912,4501,4753,5000,5860,6104
CWIP,142,102,105,216,292,352,288,483,118,215,142,267,0
Investments,113378,113093,118527,131399,129018,153037,174056,155282,225336,274608,288095,332354,349570
Other Assets,224792,270810,346164,411414,478633,546618,635860,768196,771050,916203,1051181,1179758,1196548
Total Assets,340558,386350,467243,546387,611462,703703,814046,927872,1001005,1195779,1344418,1518239,1552222
