Financial Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Revenue,17653,18209,19193,20783,22843,24630,26246,27418,28865,30231,31159,31601,32162
Interest,8795,9162,9565,10150,11094,12580,13972,14749,15943,16727,17261,17615,18040
Expenses,7994,7936,7168,7450,8577,8101,9731,10059,10506,11124,11892,12412,11913
Financing Profit,864,1111,2460,3182,3171,3948,2543,2609,2416,2379,2006,1575,2210
Financing Margin,5,6,13,15,14,16,10,10,8,8,6,5,7
Other Income,4438,4792,3423,4390,5148,-7101,5648,5705,6272,7606,6637,7603,6797
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,5301,5903,5883,7573,8319,-3153,8192,8314,8688,9985,8643,9177,9007
Tax,25,25,25,26,25,70,26,25,25,24,25,19,25
Net Profit,3983,4444,4402,5636,6215,-5334,6113,6230,6520,7630,6467,7436,6779
EPS in Rs,12.9,14.39,14.26,18.27,20.12,-17.43,19.78,20.13,21.05,24.62,20.83,23.93,21.78
