Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,423,431,444,462,462,530,530,925,1036,1036,1036,1036,1036
Reserves,32859,37416,41574,42041,42605,46036,54466,75179,81354,90833,104019,118677,134138
Deposits,482639,579997,629981,586690,617257,607451,665589,973228,995910,1075804,1234682,1351802,1389615
Borrowing,26553,36976,35502,33845,31242,64860,68868,95753,71263,109526,107910,101959,115106
Other Liabilities,16914,21284,26465,28134,27649,28919,30217,54850,53104,62922,78224,81302,84848
Total Liabilities,559387,676104,733966,691173,719216,747796,819670,1199935,1202667,1340121,1525871,1654775,1724742
Fixed Assets,2550,2849,2978,6359,5930,5532,7368,9268,8441,11098,9865,9054,7848
CWIP,0,0,0,0,0,0,0,0,0,1,3,6,0
Investments,125617,122113,124739,128894,140716,175137,195716,289727,281859,347587,397487,407136,416008
Other Assets,431220,551142,606248,555920,572570,567126,616586,900941,912367,981435,1118516,1238579,1300887
Total Assets,559387,676104,733966,691173,719216,747796,819670,1199935,1202667,1340121,1525871,1654775,1724742
