Financial Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Revenue,18722,19097,20048,22424,24834,27196,28003,29263,30042,31072,31143,31887,32570
Interest,9800,9956,10496,11495,13161,14790,16060,17528,18002,18309,18582,19266,20143
Expenses,8981,10505,8210,10408,11012,10642,11040,12216,10556,12269,10879,12755,10654
Financing Profit,-59,-1363,1343,522,660,1764,902,-480,1484,494,1682,-134,1772
Financing Margin,0,-7,7,2,3,6,3,-2,5,2,5,0,5
Other Income,3351,3373,1528,3896,5519,5332,5316,6503,5042,6538,4658,7568,5163
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,3292,2010,2871,4418,6179,7096,6217,6023,6526,7033,6340,7434,6935
Tax,26,6,26,26,33,28,31,28,27,29,28,27,26
Net Profit,2488,2053,1942,3392,4356,5315,4468,4426,4815,5160,4764,5405,5250
EPS in Rs,4.76,3.93,3.76,6.58,8.33,10.16,8.61,8.5,9.26,9.92,9.14,10.36,10.08
