Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,443,461,475,543,597,733,753,1030,1647,1814,1814,1814,1814
Reserves,24733,29715,32017,31867,34088,36164,36936,40176,60763,68147,76240,90319,100700
Deposits,364395,431880,485802,479749,495266,524847,599123,625408,1010985,1086341,1179086,1312242,1347216
Borrowing,11644,16034,13686,26963,39592,38910,41043,42762,50013,46285,58073,57538,94770
Other Liabilities,18108,23000,26578,24603,26615,30781,33928,32064,56132,56202,65816,73104,77071
Total Liabilities,419324,501090,558558,563725,596159,631435,711783,741440,1179540,1258789,1381030,1535018,1621571
Fixed Assets,2883,6661,6969,7206,7185,8335,8433,8323,11269,11447,10334,12331,12344
CWIP,1,1,1,0,0,0,0,0,2,2,0,0,0
Investments,127534,135445,152122,152470,162073,157444,168678,192645,286191,311347,352893,399207,417189
Other Assets,288907,358982,399466,404049,426901,465657,534672,540472,882077,935992,1017803,1123480,1192039
Total Assets,419324,501090,558558,563725,596159,631435,711783,741440,1179540,1258789,1381030,1535018,1621571
