Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Revenue,34070,39570,43813,44039,41457,41345,47951,49759,70253,70614,85885,110519,119392
Interest,26198,30606,34133,34263,31540,29113,32339,35817,45182,43035,52990,72118,80351
Expenses,7217,9636,10302,17785,15691,25582,27202,26809,43437,41235,42772,46146,48026
Financing Profit,655,-672,-621,-8008,-5775,-13350,-11590,-12867,-18367,-13657,-9877,-7745,-8985
Financing Margin,2,-2,-1,-18,-14,-32,-24,-26,-26,-19,-12,-7,-8
Other Income,3308,4144,4733,5266,7852,7398,9907,11799,23086,23643,25325,28646,30394
Depreciation,191,230,429,172,331,456,429,446,838,841,1021,902,0
Profit before tax,3771,3242,3683,-2914,1746,-6408,-2111,-1514,3882,9145,14427,20000,21409
Tax,22,20,22,-13,29,-36,-126,34,30,37,25,26,21409
Net Profit,2995,2672,2931,-2535,1411,-3873,696,-1921,2957,6158,11345,15401,16571
EPS in Rs,12.19,10.37,10.96,-8.73,4.55,-10.78,1.6,-3.86,3.51,6.75,12.41,16.84,18.11
Dividend Payout,19,19,17,0,4,0,0,0,0,19,19,19,18.11
