Financial Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Revenue,17982,18227,18537,20482,22561,24304,25451,27290,28492,29286,29173,30182,30751
Interest,10761,10856,11396,12681,13622,15292,16337,17934,18620,19226,19534,20427,21163
Expenses,8386,10824,9382,11326,10831,12253,10990,10859,12001,13198,12010,12066,10752
Financing Profit,-1165,-3453,-2241,-3525,-1891,-3241,-1876,-1504,-2129,-3138,-2371,-2312,-1165
Financing Margin,-6,-19,-12,-17,-8,-13,-7,-6,-7,-11,-8,-8,-4
Other Income,3506,6292,5202,6876,5777,7470,6809,6602,7138,8098,7793,7824,6679
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,2341,2839,2961,3351,3886,4229,4933,5098,5009,4960,5422,5513,5515
Tax,30,31,30,23,25,24,28,28,25,24,27,26,25
Net Profit,1712,2061,2193,2730,3058,3364,3755,3829,3827,3991,4098,4227,4256
EPS in Rs,1.83,2.12,2.4,2.98,3.34,3.68,4.12,4.19,4.18,4.36,4.48,4.62,4.65
Gross NPA,7.81,7.51,6.99,6.37,5.9,5.35,5.16,4.76,4.39,4.23,4.14,3.73,3.34
Net NPA,2.87,2.65,2.48,2.19,1.96,1.73,1.57,1.41,1.32,1.27,1.24,0.99,0.89
