Financial Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Revenue,3604,3686,3843,4259,4698,5012,5350,5791,6085,6339,6728,7006,7265
Interest,1970,2030,2104,2349,2585,2938,3255,3544,3760,3936,4212,4393,4570
Expenses,1431,1363,1351,1541,1544,1574,1634,1661,1814,1917,2048,2149,2349
Financing Profit,203,294,388,369,569,500,461,586,511,486,468,463,346
Financing Margin,6,8,10,9,12,10,9,10,8,8,7,7,5
Other Income,521,484,475,628,565,768,741,757,908,810,936,1010,931
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,725,778,863,997,1134,1269,1202,1343,1420,1296,1404,1473,1277
Tax,25,25,26,26,25,26,26,26,25,25,26,25,26
Net Profit,544,599,645,745,856,964,894,1007,1067,996,1047,1115,951
EPS in Rs,2.57,2.79,3.02,3.48,3.99,4.51,4.16,4.23,4.26,3.99,4.2,4.47,3.85
Gross NPA,3.1,2.78,2.67,2.45,2.42,2.35,2.37,2.27,2.28,2.11,4.2,4.47,3.85
Net NPA,1.11,0.98,0.96,0.82,0.77,0.73,0.74,0.68,0.68,0.63,4.2,4.47,3.85
