Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,476,480,501,506,513,519,545,548,551,555,558,760,763
Reserves,36167,43687,62653,73798,91281,109080,153128,175810,209259,246772,288880,455636,477794
Deposits,296092,367080,450284,545873,643134,788375,922503,1146207,1333721,1558003,1882663,2376887,2496325
Borrowing,39497,49597,59478,103714,98416,156442,157733,186834,177697,226966,256549,730615,666039
Other Liabilities,35492,42776,34181,38321,59000,48770,58898,71430,78279,90639,101783,466296,510867
Total Liabilities,407723,503620,607097,762212,892344,1103186,1292806,1580830,1799507,2122934,2530432,4030194,4151788
Fixed Assets,2773,3026,3225,3667,4000,4008,4369,4776,5248,6432,8431,12604,14171
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,110960,119571,149454,193634,210777,238461,289446,389305,438823,449264,511582,1005682,1061585
Other Assets,293989,381023,454417,564912,677567,860717,998991,1186750,1355435,1667238,2010419,3011909,3076032
Total Assets,407723,503620,607097,762212,892344,1103186,1292806,1580830,1799507,2122934,2530432,4030194,4151788
