Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Revenue,35861,42555,50666,63162,73271,85288,105161,122189,128552,135936,170754,283649,329022
Interest,19695,23445,27288,34070,38042,42381,53713,62137,59248,58584,77780,154139,180600
Expenses,12631,13508,16164,20055,23856,29532,34856,45459,52457,56557,63042,174196,206009
Financing Profit,3534,5602,7214,9037,11374,13374,16592,14593,16848,20795,29932,-44685,-57587
Financing Margin,10,13,14,14,16,16,16,12,13,15,18,-16,-18
Other Income,7133,8298,9546,11212,12905,16057,18947,24879,27333,31759,33912,124346,146017
Depreciation,663,689,680,738,886,967,1221,1277,1385,1681,2345,3092,0
Profit before tax,10004,13211,16079,19511,23393,28464,34318,38195,42796,50873,61498,76569,88430
Tax,31,34,33,34,35,35,35,29,26,25,25,15,88430
Net Profit,6903,8768,10703,12821,15317,18561,22446,27296,31857,38151,46149,65446,72168
EPS in Rs,14.44,18.22,21.32,25.32,29.81,35.66,41,49.7,57.74,68.62,82.44,84.33,91.3
Dividend Payout,19,19,19,19,18,18,18,5,11,23,23,23,91.3
