Financial Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Revenue,34588,35574,37274,40930,45002,47548,51168,75039,78008,79434,81546,83002,85040
Interest,14724,15227,16358,18311,20505,22606,25955,41250,43242,43692,44580,45414,46914
Expenses,14423,15044,15021,15915,16682,17770,18470,45349,50530,62938,49690,52074,41307
Financing Profit,5441,5304,5895,6704,7815,7172,6744,-11560,-15764,-27196,-12723,-14487,-3181
Financing Margin,16,15,16,16,17,15,13,-15,-20,-34,-16,-17,-4
Other Income,8777,8386,6929,8252,9121,9610,9853,32528,37007,44958,35450,38455,27154
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,14218,13690,12823,14956,16936,16783,16597,20967,21243,17761,22727,23968,23973
Tax,25,23,25,25,25,25,25,17,17,-1,24,22,24
Net Profit,10616,10475,9617,11163,12735,12634,12403,17312,17718,18013,17188,18627,18340
EPS in Rs,19.11,18.83,17.25,19.97,22.77,22.57,22.12,22.17,22.73,23.2,21.65,23.36,23.09
