Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,1154,1155,1160,1163,1165,1286,1289,1295,1383,1390,1397,1405,1409
Reserves,67609,75275,83545,92948,103467,109344,112964,121665,156204,180663,213101,254739,277026
Deposits,388947,441459,478042,482401,530204,585796,681317,800784,959940,1091366,1210832,1443580,1529514
Borrowing,98712,101596,119165,189054,170670,229402,210324,213852,143900,161603,189062,207428,219761
Other Liabilities,118401,128278,144167,153190,180219,198453,232899,239696,312385,317616,344099,456911,488802
Total Liabilities,674822,747762,826079,918756,985725,1124281,1238794,1377292,1573812,1752637,1958490,2364063,2516512
Fixed Assets,5473,5507,5871,8713,9338,9465,9660,10409,10809,10707,11070,15714,14254
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,255667,267609,274311,286044,304373,372208,398201,443473,536579,567098,639552,827163,874760
Other Assets,413682,474646,545897,623999,672013,742608,830933,923411,1026424,1174833,1307868,1521186,1627497
Total Assets,674822,747762,826079,918756,985725,1124281,1238794,1377292,1573812,1752637,1958490,2364063,2516512
