Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Revenue,44885,49479,54964,59294,60940,62162,71982,84836,89163,95407,121067,159516,180551
Interest,28285,29711,32318,33996,34836,34262,39178,44666,42659,41167,50543,74108,86404
Expenses,31684,32852,38766,52252,63841,72806,83775,85361,91309,80798,87864,99560,125722
Financing Profit,-15085,-13084,-16120,-26955,-37737,-44906,-50971,-45190,-44805,-26558,-17341,-14152,-31575
Financing Margin,-34,-26,-29,-45,-62,-72,-71,-53,-50,-28,-14,-9,-17
Other Income,29320,30085,35252,42102,52458,56807,59325,64950,72174,62129,65112,76522,101799
Depreciation,625,719,798,843,912,922,946,1171,1340,1330,1515,1935,0
Profit before tax,13610,16282,18334,14304,13809,10978,7408,18589,26028,34241,46256,60434,70224
Tax,26,28,29,24,18,17,23,40,22,25,26,26,70224
Net Profit,10130,11677,12942,10927,11340,9100,5689,11225,20364,26538,35461,46081,52416
EPS in Rs,15.14,17.38,19.2,15.92,15.9,12,6.6,14.78,26.58,36.14,48.74,63.02,69.87
Dividend Payout,24,24,24,29,14,12,15,0,8,14,16,16,69.87
