Financial Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Revenue,24314,24999,26159,28850,31619,34439,37106,38938,40865,42607,44582,46326,47037
Interest,10372,10634,11089,11997,12978,14479,16368,17908,19409,20424,21122,22225,22633
Expenses,20470,21775,18137,22336,22946,25959,21402,24560,24929,30604,29387,32221,33510
Financing Profit,-6528,-7410,-3068,-5483,-4305,-6000,-663,-3530,-3473,-8421,-5927,-8120,-9106
Financing Margin,-27,-30,-12,-19,-14,-17,-2,-9,-8,-20,-13,-18,-19
Other Income,15745,18013,13271,16634,16470,19735,15229,18690,18874,24802,22745,26662,27589
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,9216,10604,10203,11151,12165,13735,14566,15160,15402,16381,16818,18542,18483
Tax,24,24,25,25,25,25,24,25,25,26,26,25,25
Net Profit,6960,8089,7698,8361,9166,10236,11014,11351,11515,12200,12463,13906,13847
EPS in Rs,9.41,11.11,10.62,11.49,12.6,14.11,15.2,15.56,15.76,16.62,16.62,18.38,18.25
