Financial Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,3399,3404,4782,4810,5676,6218,6618,7070,7483
Reserves,11278,11870,13418,10594,12224,14864,19229,25204,29396
Deposits,40098,48039,70354,65079,88536,105540,144470,200570,223558
Borrowing,50262,57287,69983,57397,45786,52963,57212,50936,46351
Other Liabilities,7027,5781,8563,11279,10849,10561,12353,12430,13763
Total Liabilities,112064,126382,167099,149159,163072,190146,239882,296210,320552
Fixed Assets,933,797,940,999,1370,1448,2054,2720,2821
CWIP,6,3,34,74,65,79,219,95,0
Investments,50164,60904,58245,45174,45182,45935,60913,74500,76118
Other Assets,60962,64677,107880,102911,116454,142684,176696,218895,241612
Total Assets,112064,126382,167099,149159,163072,190146,239882,296210,320552
