Financial Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Revenue,8578,9098,12204,16240,15968,17173,22728,30325,35309
Interest,6515,7126,8743,10228,8585,7465,10091,13870,16452
Expenses,1432,1789,4702,9760,8733,12323,13338,17899,23112
Financing Profit,631,184,-1241,-3748,-1350,-2615,-701,-1444,-4255
Financing Margin,7,2,-10,-23,-8,-15,-3,-5,-12
Other Income,1019,1120,824,1722,2211,3173,4467,5932,6723
Depreciation,136,168,2820,320,343,382,435,631,0
Profit before tax,1514,1135,-3237,-2346,519,175,3331,3857,2468
Tax,30,16,-41,21,7,24,25,24,2468
Net Profit,1019,880,-1908,-2843,483,132,2485,2942,1927
EPS in Rs,3,2.58,-3.99,-5.91,0.85,0.21,3.75,4.16,2.69
Dividend Payout,25,29,0,0,0,0,0,0,2.69
