Financial Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Revenue,4429,4554,4922,5470,5912,6424,6869,7356,7880,8220,8789,8957,9343
Interest,1849,1884,2170,2467,2626,2827,3122,3406,3592,3750,4093,4169,4440
Expenses,2958,3031,2957,3304,3612,3901,4114,4377,4874,5164,5417,6270,6260
Financing Profit,-378,-361,-205,-301,-326,-303,-367,-427,-587,-694,-721,-1482,-1358
Financing Margin,-9,-8,-4,-6,-6,-5,-5,-6,-7,-8,-8,-17,-15
Other Income,769,831,856,1061,1152,1398,1364,1410,1517,1642,1574,1727,1780
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,391,470,650,760,827,1094,996,983,930,948,853,245,422
Tax,26,25,25,25,25,25,27,24,21,23,25,14,19
Net Profit,290,352,485,567,617,816,732,747,732,732,643,212,340
EPS in Rs,0.47,0.57,0.78,0.91,0.99,1.23,1.1,1.11,1.04,1.04,0.91,0.28,0.46
