Financial Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,595,598,600,603,694,773,775,776,778,779
Reserves,17102,20049,23243,26085,34054,42727,47252,54229,62429,64793
Deposits,93000,127572,151639,194868,202027,255870,293349,336120,384586,412397
Borrowing,24996,21454,38289,47321,60754,51323,47323,49011,47611,44716
Other Liabilities,7205,8976,7856,8944,9700,12210,13268,17701,19689,20722
Total Liabilities,142898,178650,221628,277821,307229,362903,401967,457837,515094,543407
Fixed Assets,1218,1307,1313,1688,1792,1801,1834,1944,2127,2416
CWIP,37,28,25,22,79,75,95,135,197,0
Investments,34056,36704,50078,59268,59938,69653,70930,83076,106486,111315
Other Assets,107587,140611,170211,216843,245419,291374,329109,372682,406283,429676
Total Assets,142898,178650,221628,277821,307229,362903,401967,457837,515094,543407
