Financial Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Revenue,7737,7860,8182,8708,9457,10021,10730,11248,11572,12199,12547,12686,12801
Interest,3944,3875,4057,4406,4962,5351,5863,6171,6277,6822,7139,7339,7573
Expenses,4012,3970,3877,3910,3950,4096,4237,4424,4618,4753,4947,5752,5726
Financing Profit,-219,15,248,392,545,574,630,653,677,623,460,-405,-498
Financing Margin,-3,0,3,4,6,6,6,6,6,5,4,-3,-4
Other Income,1877,1903,1932,2011,2076,2154,2210,2282,2396,2508,2442,2185,2355
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,1658,1918,2180,2403,2622,2727,2840,2935,3073,3131,2902,1780,1857
Tax,25,27,25,25,25,25,25,25,25,25,25,25,24
Net Profit,1242,1401,1631,1805,1964,2043,2124,2202,2301,2349,2171,1331,1402
EPS in Rs,16.03,18.08,21.04,23.29,25.32,26.34,27.38,28.34,29.59,30.18,27.88,17.09,18
Gross NPA,2.48,2.27,2.35,2.11,2.06,1.98,1.94,1.93,1.92,1.92,2.02,2.11,2.25
Net NPA,0.71,0.64,0.67,0.61,0.62,0.59,0.58,0.57,0.57,0.57,0.6,0.64,0.68
