Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,353,362,371,393,426,552,921,1348,2096,2202,2202,2202,2299
Reserves,34116,37731,41669,41412,42990,40965,45164,62529,90439,95380,100678,108185,124363
Deposits,410210,476325,537758,570383,629651,648439,681874,710254,1113717,1154234,1290347,1379225,1468416
Borrowing,35880,43912,36692,81674,43336,65330,46828,62512,52298,59372,70149,72586,94496
Other Liabilities,16089,16490,19522,18932,16909,22242,15333,14814,21176,28113,30273,36438,33079
Total Liabilities,496648,574820,636011,712793,733311,777528,790120,851457,1279725,1339301,1493649,1598636,1722652
Fixed Assets,3422,3490,3656,5308,6298,6371,6246,7262,11049,10696,12084,12348,12369
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,134734,149225,156762,165126,191527,204419,210578,253782,404369,388586,416914,446421,495604
Other Assets,358491,422105,475594,542358,535486,566738,573295,590413,864307,940019,1064651,1139867,1214679
Total Assets,496648,574820,636011,712793,733311,777528,790120,851457,1279725,1339301,1493649,1598636,1722652
