Financial Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Revenue,19579,19090,19144,20588,22808,24305,25673,26858,27852,28682,29145,30447,31895
Interest,11697,11497,11443,12172,13513,14690,16064,16820,17444,18206,18536,19790,20738
Expenses,8839,9384,9523,10493,11578,10813,10990,10259,9449,9831,8473,8592,7494
Financing Profit,-957,-1791,-1822,-2077,-2282,-1197,-1381,-221,959,646,2136,2065,3663
Financing Margin,-5,-9,-10,-10,-10,-5,-5,-1,3,2,7,7,11
Other Income,2696,2261,2384,2704,3325,3827,3360,2999,2676,4294,3615,4664,3392
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,1739,470,562,626,1043,2630,1979,2778,3634,4940,5751,6729,7055
Tax,34,48,46,42,37,34,39,36,38,37,35,34,34
Net Profit,1249,348,271,496,715,1876,1363,1990,2441,3363,3991,4739,4811
EPS in Rs,1.14,0.31,0.26,0.45,0.64,1.69,1.22,1.81,2.21,3.04,3.61,4.1,4.18
