Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,684,747,747,776,797,892,892,892,892,892,892,892,892
Reserves,124349,146624,160641,179816,216395,229429,233603,250168,274669,304696,358039,414047,462157
Deposits,1627403,1838852,2052961,2253858,2599811,2722178,2940541,3274161,3715331,4087411,4468536,4966537,5171743
Borrowing,203723,223760,244663,361399,336366,369079,413748,332901,433796,449160,521152,639610,606663
Other Liabilities,176355,185573,240149,276472,288391,294860,299676,339364,420926,518719,605796,712669,721880
Total Liabilities,2132514,2395556,2699161,3072321,3441760,3616439,3888460,4197486,4845615,5360878,5954415,6733756,6963335
Fixed Assets,8694,10223,12924,15415,51189,42035,39941,39608,41600,41032,45880,46072,45239
CWIP,676,337,400,786,695,925,762,470,116,28,66,42,0
Investments,519343,579401,673507,807375,1027281,1183794,1119270,1228284,1595100,1776490,1913108,2110548,2162001
Other Assets,1603801,1805595,2012329,2248746,2362594,2389685,2728487,2929123,3208798,3543328,3995361,4577093,4756096
Total Assets,2132514,2395556,2699161,3072321,3441760,3616439,3888460,4197486,4845615,5360878,5954415,6733756,6963335
