Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Revenue,167976,189062,207974,220633,230447,228970,253322,269852,278115,289973,350845,439189,481410
Interest,106818,121479,133179,143047,149115,146603,155867,161124,156010,156194,189981,259736,293360
Expenses,66283,82198,96675,109985,145666,169065,166104,172909,192821,197349,204303,239750,247015
Financing Profit,-5124,-14614,-21879,-32399,-64334,-86697,-68649,-64181,-70715,-63570,-43439,-60297,-58965
Financing Margin,-3,-8,-11,-15,-28,-38,-27,-24,-25,-22,-12,-14,-12
Other Income,32584,37882,49315,52828,68193,77557,77365,98159,107222,117000,122534,155386,167285
Depreciation,1577,1942,1581,2252,2915,3105,3496,3662,3711,3691,3696,3849,0
Profit before tax,25882,21326,25855,18177,945,-12245,5220,30317,32796,49739,75399,91240,108320
Tax,29,32,32,30,141,-66,41,40,26,27,25,25,108320
Net Profit,18555,14807,17832,13019,-97,-3749,3351,21140,23888,37183,57750,69543,82346
EPS in Rs,26.19,18.99,22.76,15.75,0.3,-5.11,2.58,22.15,25.11,39.64,62.35,75.17,88.9
Dividend Payout,16,16,15,17,859,0,0,0,16,18,18,18,88.9
