Financial Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Revenue,73376,74608,76781,84463,91518,98083,101460,107391,112868,117469,118242,121045,124654
Interest,39363,39944,41931,45232,49366,53451,58045,62955,68092,70644,71701,73619,77397
Expenses,52015,54233,42328,49208,56498,59965,49080,59365,62635,65418,53996,62709,64890
Financing Profit,-18002,-19569,-7478,-9977,-14346,-15334,-5665,-14930,-17858,-18593,-7455,-15283,-17634
Financing Margin,-25,-26,-10,-12,-16,-16,-6,-14,-16,-16,-6,-13,-14
Other Income,31152,33427,17743,30320,35701,38769,30873,36865,33103,47445,33883,42758,43200
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,13150,13858,10265,20342,21355,23436,25208,21936,15245,28852,26428,27474,25566
Tax,26,28,27,26,27,22,26,25,26,25,26,26,25
Net Profit,9948,10191,7796,15297,15888,18769,19094,16648,11598,22203,20094,20565,19484
EPS in Rs,10.71,10.7,8.21,16.53,17.34,20.27,20.77,18.04,12.4,23.96,21.65,22.17,21.12
