Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,359,361,418,421,456,461,463,2510,5011,5011,5751,5754,6269
Reserves,5449,6755,11248,13342,21583,25292,26424,19185,28127,28688,34967,36402,40175
Deposits,66956,74186,91159,111704,142857,200689,227558,105311,162846,197063,217382,266230,277086
Borrowing,20922,21314,26220,31659,38607,74894,108424,113790,63949,72340,77754,80508,78950
Other Liabilities,5419,6390,7098,8117,11556,11115,17990,17036,13660,15476,19350,17469,16649
Total Liabilities,99104,109005,136143,165243,215060,312450,380860,257832,273593,318578,355204,406362,419130
Fixed Assets,218,277,296,414,612,765,778,730,2096,2016,2156,2509,2982
CWIP,11,20,26,60,75,72,51,294,63,125,296,357,0
Investments,42976,40933,43193,48788,49982,68293,89329,43748,43115,51754,76749,89997,85365
Other Assets,55899,67775,92628,115980,164391,243319,290701,213061,228320,264683,276003,313499,330782
Total Assets,99104,109005,136143,165243,215060,312450,380860,257832,273593,318578,355204,406362,419130
