Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Revenue,8294,9981,11572,13533,16425,20269,29624,26052,20039,19019,22702,27606,30753
Interest,6075,7265,8083,8965,10627,12529,19811,19258,12611,12528,14800,19527,21956
Expenses,1499,2055,2548,3429,4790,6595,11834,39246,14937,8058,10371,11350,12113
Financing Profit,720,662,940,1139,1008,1144,-2021,-32452,-7509,-1568,-2468,-3272,-3315
Financing Margin,9,7,8,8,6,6,-7,-125,-37,-8,-11,-12,-11
Other Income,1257,1722,2048,2729,4218,5293,4675,11956,3107,3405,3883,5355,5984
Depreciation,52,64,86,112,173,232,305,342,360,403,433,546,0
Profit before tax,1926,2320,2902,3756,5053,6205,2349,-20838,-4762,1434,981,1538,2669
Tax,32,31,31,33,34,32,27,-21,-27,26,25,16,2669
Net Profit,1301,1611,1997,2530,3340,4233,1709,-16433,-3489,1064,736,1285,2169
EPS in Rs,7.25,8.94,9.56,12.03,14.63,18.38,7.38,-13.09,-1.39,0.42,0.26,0.45,0.7
Dividend Payout,17,18,19,17,16,15,27,0,0,0,0,0,0.7
