Financial Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Revenue,4897,4947,5135,5475,5874,6218,6445,6714,6989,7458,7725,7737,7833
Interest,3135,3130,3287,3487,3908,4117,4449,4794,4975,5309,5486,5544,5617
Expenses,2174,2235,2214,2703,3006,2881,2726,2883,2948,3340,2820,2984,2969
Financing Profit,-412,-418,-366,-716,-1041,-780,-730,-962,-934,-1191,-580,-791,-753
Financing Margin,-8,-8,-7,-13,-18,-13,-11,-14,-13,-16,-8,-10,-10
Other Income,768,926,785,931,1113,1055,1192,1267,1255,1642,1271,1488,1583
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,355,508,419,215,72,275,462,304,320,451,691,697,830
Tax,25,27,25,25,24,25,25,25,24,-4,25,19,25
Net Profit,266,372,314,160,55,206,347,229,243,467,516,567,619
EPS in Rs,0.11,0.15,0.13,0.06,0.02,0.07,0.12,0.08,0.08,0.16,0.16,0.18,0.2
Gross NPA,14.65,13.93,13.4,12.9,2,2.2,2,2,2,1.7,1.7,1.6,1.6
Net NPA,5.29,4.53,4.2,3.6,1,0.83,1,0.9,0.9,0.6,0.5,0.5,0.5
