Financial_Metric,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025
Equity Capital,188,188,188,188,188,188,188,188,188,188,188,188
Reserves,7625,8030,8233,8625,9168,10344,11356,12511,14121,13950,16142,18367
Borrowings,35,0,0,0,0,0,0,102,126,153,355,430
Other Liabilities,4253,4464,4379,4581,5490,5524,5592,5399,6604,6252,6701,6428
Total Liabilities,12101,12682,12800,13394,14846,16056,17136,18200,21039,20544,23386,25413
Fixed Assets,5570,5666,5331,7568,7280,7088,7027,6694,6750,7512,10025,10829
CWIP,832,1956,2396,261,269,398,446,548,1216,1684,986,2061
Investments,2126,1385,1314,117,95,104,116,129,150,163,811,1509
Other Assets,3573,3675,3759,5448,7202,8466,9547,10828,12923,11185,11564,11013
Total Assets,12101,12682,12800,13394,14846,16056,17136,18200,21039,20544,23386,25413
