Financial_Metric,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023 15m,Mar 2024,Mar 2025
Sales,11062.0,11646.0,11706.0,10990.0,13285.0,14802.0,15658.0,13786.0,16152.0,22210.0,19959.0,21762.0
Expenses,9416.0,10116.0,10123.0,9532.0,11370.0,12754.0,13245.0,11431.0,13154.0,20285.0,16897.0,18701.0
Operating Profit,1646.0,1529.0,1583.0,1458.0,1915.0,2048.0,2413.0,2355.0,2998.0,1925.0,3062.0,3061.0
OPM,15.0,13.0,14.0,13.0,14.0,14.0,15.0,17.0,19.0,9.0,15.0,14.0
Other Income,265.0,241.0,-90.0,115.0,137.0,153.0,332.0,50.0,164.0,196.0,735.0,1175.0
Interest,114.0,83.0,65.0,79.0,99.0,88.0,86.0,57.0,55.0,77.0,155.0,108.0
Depreciation,584.0,568.0,663.0,609.0,644.0,603.0,606.0,639.0,601.0,841.0,883.0,1001.0
Profit before tax,1214.0,1120.0,766.0,885.0,1310.0,1510.0,2053.0,1709.0,2506.0,1203.0,2759.0,3127.0
Tax,11.0,-3.0,25.0,26.0,29.0,-1.0,33.0,16.0,26.0,26.0,15.0,23.0
Net Profit,1095.0,1162.0,587.0,658.0,925.0,1521.0,1378.0,1430.0,1863.0,885.0,2337.0,2402.0
EPS in Rs,58.31,61.88,31.3,35.06,49.23,80.97,73.35,76.16,99.21,47.13,124.42,127.92
Dividend Payout,52.0,55.0,54.0,49.0,53.0,17.0,19.0,18.0,59.0,20.0,6.0,6.0
