Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,4427.0,4468.0,3987.0,4537.0,4791.0,5201.0,4435.0,4914.0,5409.0,5155.0,4614.0,5927.0,6067.0
Expenses,3792.0,4042.0,3971.0,4158.0,4322.0,4430.0,3885.0,4010.0,4572.0,4476.0,4178.0,4812.0,5236.0
Operating Profit,635.0,426.0,16.0,379.0,469.0,771.0,549.0,905.0,837.0,679.0,436.0,1116.0,830.0
OPM,14.0,10.0,0.0,8.0,10.0,15.0,12.0,18.0,15.0,13.0,9.0,19.0,14.0
Other Income,62.0,58.0,56.0,-35.0,55.0,80.0,212.0,94.0,350.0,73.0,124.0,649.0,330.0
Interest,11.0,15.0,18.0,19.0,15.0,25.0,29.0,34.0,67.0,33.0,33.0,28.0,14.0
Depreciation,154.0,165.0,173.0,173.0,177.0,200.0,213.0,235.0,237.0,235.0,242.0,260.0,265.0
Profit before tax,532.0,305.0,-118.0,152.0,331.0,626.0,519.0,729.0,883.0,484.0,284.0,1476.0,882.0
Tax,26.0,25.0,-26.0,26.0,29.0,25.0,25.0,26.0,-7.0,26.0,30.0,26.0,15.0
Net Profit,396.0,227.0,-87.0,113.0,236.0,466.0,388.0,538.0,943.0,360.0,200.0,1092.0,751.0
EPS in Rs,21.1,12.11,-4.65,6.03,12.55,24.82,20.65,28.63,50.23,19.15,10.63,58.14,39.99
Raw PDF,,,,,,,,,,,,,
