Financial Metric,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,"Mar 2023
            
              15m",Mar 2024,TTM
Sales,11275,11062,11646,11706,10990,13285,14802,15658,13786,16152,22210,19959,21105
Expenses,9078,9416,10116,10123,9532,11370,12754,13245,11431,13154,20285,16897,18037
Operating Profit,2197,1646,1529,1583,1458,1915,2048,2413,2355,2998,1925,3062,3068
OPM,19,15,13,14,13,14,14,15,17,19,9,15,15
Other Income,-72,265,241,-90,115,137,153,332,50,164,196,735,1195
Interest,115,114,83,65,79,99,88,86,57,55,77,155,161
Depreciation,569,584,568,663,609,644,603,606,639,601,841,883,971
Profit before tax,1441,1214,1120,766,885,1310,1510,2053,1709,2506,1203,2759,3130
Tax,27,11,-3,25,26,29,-1,33,16,26,26,15,3130
Net Profit,1059,1095,1162,587,658,925,1521,1378,1430,1863,885,2337,2596
EPS in Rs,56.42,58.31,61.88,31.3,35.06,49.23,80.97,73.35,76.16,99.21,47.13,124.42,138.23
Dividend Payout,53,52,55,54,49,53,17,19,18,59,20,6,138.23
