Financial Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,4226,4427,4468,3987,4537,4791,5201,4435,4914,5409,5155,4614,5927
Expenses,3670,3792,4042,3971,4158,4322,4430,3885,4010,4572,4476,4178,4812
Operating Profit,556,635,426,16,379,469,771,549,905,837,679,436,1116
OPM,13,14,10,0,8,10,15,12,18,15,13,9,19
Other Income,1,62,58,56,-35,55,80,212,94,350,73,124,649
Interest,13,11,15,18,19,15,25,29,34,67,33,33,28
Depreciation,160,154,165,173,173,177,200,213,235,235,235,242,260
Profit before tax,384,532,305,-118,152,331,626,519,729,885,484,284,1476
Tax,27,26,25,-26,26,29,25,25,26,-7,26,30,26
Net Profit,281,396,227,-87,113,236,466,388,538,945,360,200,1092
EPS in Rs,14.95,21.1,12.11,-4.65,6.03,12.55,24.82,20.65,28.63,50.31,19.15,10.63,58.14
