Financial_Metric,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025
Equity Capital,309,310,310,397,397,397,397,397,397,397,440,493
Reserves,9153,9760,9961,19424,20275,21973,23681,22360,24957,31301,41016,52951
Borrowings,48,34,35,29,24,40,41,471,477,523,699,788
Other Liabilities,3446,3774,3827,12974,14813,14981,16059,16490,19374,19501,23107,26714
Total Liabilities,12956,13878,14133,32824,35509,37391,40178,39718,45205,51721,65261,80945
Fixed Assets,6147,6310,6170,21410,20898,20636,20701,20486,22254,23551,32388,42643
CWIP,698,692,416,582,667,1008,1554,2422,2168,2526,2658,9820
Investments,1714,2097,2149,175,153,133,150,167,198,214,849,1912
Other Assets,4399,4780,5398,10657,13791,15613,17773,16643,20585,25430,29365,26570
Total Assets,12956,13878,14133,32824,35509,37391,40178,39718,45205,51721,65261,80945
