Financial Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,7625,7900,8033,7143,7907,7966,8713,7424,8129,8894,8311,7516,9329
Expenses,6497,6476,6922,6809,6885,6727,7046,6122,6397,7195,7032,6405,7617
Operating Profit,1128,1424,1111,334,1021,1239,1667,1302,1732,1699,1280,1111,1712
OPM,15,18,14,5,13,16,19,18,21,19,15,15,18
Other Income,-31,97,143,75,-18,142,268,480,204,448,358,220,1355
Interest,38,32,40,41,43,39,52,61,70,93,68,67,67
Depreciation,330,306,319,331,337,352,372,381,416,453,476,552,664
Profit before tax,728,1183,895,39,623,989,1512,1340,1450,1601,1094,713,2336
Tax,41,28,3,-33,22,23,25,26,25,5,28,34,-12
Net Profit,431,856,865,51,488,763,1135,987,1091,1526,783,473,2620
EPS in Rs,1.46,3.32,3.79,0.47,2.19,3.25,4.56,3.99,4.15,4.8,2.6,1.85,8.59
