Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,3380.0,3302.0,2971.0,3355.0,3915.0,3627.0,3153.0,3604.0,4307.0,3621.0,3087.0,3181.0,4091.0
Expenses,2697.0,2713.0,2592.0,2711.0,3205.0,3014.0,2560.0,2825.0,3653.0,2952.0,2653.0,2670.0,3298.0
Operating Profit,683.0,589.0,379.0,644.0,710.0,613.0,593.0,779.0,654.0,669.0,434.0,511.0,793.0
OPM,20.0,18.0,13.0,19.0,18.0,17.0,19.0,22.0,15.0,18.0,14.0,16.0,19.0
Other Income,57.0,39.0,33.0,42.0,424.0,54.0,80.0,60.0,120.0,-63.0,73.0,37.0,93.0
Interest,45.0,47.0,54.0,69.0,64.0,83.0,101.0,108.0,94.0,95.0,98.0,101.0,105.0
Depreciation,333.0,312.0,332.0,325.0,336.0,399.0,401.0,370.0,328.0,317.0,336.0,364.0,314.0
Profit before tax,362.0,269.0,26.0,292.0,734.0,185.0,171.0,361.0,352.0,194.0,73.0,83.0,467.0
Tax,25.0,24.0,-81.0,25.0,17.0,22.0,28.0,26.0,9.0,25.0,33.0,20.0,6.0
Net Profit,271.0,205.0,47.0,218.0,609.0,144.0,123.0,266.0,320.0,145.0,49.0,66.0,439.0
EPS in Rs,14.2,10.46,2.45,10.88,31.42,6.93,6.29,14.02,16.8,7.52,2.45,3.25,23.19
Raw PDF,,,,,,,,,,,,,
