Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,3637.0,4364.0,4415.0,4038.0,4299.0,5100.0,5036.0,4774.0,5193.0,5401.0,5124.0,4054.0,4573.0
Expenses,2792.0,3445.0,3614.0,3495.0,3573.0,4211.0,4091.0,3888.0,3930.0,3979.0,4197.0,3441.0,3608.0
Operating Profit,845.0,919.0,801.0,543.0,727.0,889.0,945.0,886.0,1264.0,1422.0,927.0,613.0,965.0
OPM,23.0,21.0,18.0,13.0,17.0,17.0,19.0,19.0,24.0,26.0,18.0,15.0,21.0
Other Income,114.0,137.0,-20.0,159.0,174.0,146.0,169.0,132.0,147.0,150.0,139.0,181.0,111.0
Interest,54.0,52.0,55.0,66.0,70.0,71.0,74.0,67.0,55.0,62.0,56.0,56.0,52.0
Depreciation,285.0,297.0,350.0,396.0,443.0,473.0,339.0,412.0,444.0,702.0,704.0,716.0,799.0
Profit before tax,620.0,707.0,376.0,240.0,388.0,491.0,700.0,539.0,913.0,807.0,306.0,23.0,225.0
Tax,22.0,7.0,26.0,24.0,27.0,-7.0,18.0,17.0,23.0,16.0,9.0,-229.0,14.0
Net Profit,483.0,659.0,279.0,183.0,282.0,525.0,572.0,447.0,702.0,676.0,278.0,77.0,194.0
EPS in Rs,133.58,182.16,77.47,50.82,78.18,145.72,158.62,123.79,194.53,187.05,77.22,21.19,53.6
Raw PDF,,,,,,,,,,,,,
