Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,20730.0,23306.0,25153.0,25375.0,30979.0,41462.0,42430.0,44726.0,52599.0,63240.0,70908.0,75955.0
Expenses,16695.0,18881.0,20252.0,20162.0,24834.0,34115.0,33184.0,33158.0,41084.0,52620.0,57940.0,63408.0
Operating Profit,4035.0,4425.0,4901.0,5212.0,6145.0,7347.0,9246.0,11568.0,11514.0,10620.0,12969.0,12547.0
OPM,19.0,19.0,19.0,21.0,20.0,18.0,22.0,26.0,22.0,17.0,18.0,17.0
Other Income,322.0,350.0,464.0,648.0,242.0,350.0,651.0,619.0,669.0,507.0,567.0,647.0
Interest,361.0,587.0,566.0,640.0,1238.0,1778.0,1992.0,1486.0,945.0,823.0,968.0,1651.0
Depreciation,1139.0,1203.0,1377.0,1348.0,1848.0,2451.0,2723.0,2700.0,2715.0,2888.0,3145.0,4015.0
Profit before tax,2858.0,2986.0,3421.0,3872.0,3301.0,3468.0,5183.0,8001.0,8524.0,7416.0,9422.0,7528.0
Tax,23.0,30.0,28.0,30.0,33.0,31.0,-11.0,32.0,14.0,32.0,26.0,20.0
Net Profit,2213.0,2102.0,2480.0,2714.0,2224.0,2400.0,5751.0,5462.0,7334.0,5073.0,7004.0,6040.0
EPS in Rs,80.44,76.47,90.3,98.9,80.92,87.51,199.4,189.26,254.42,175.41,242.65,204.94
Dividend Payout,11.0,12.0,11.0,10.0,13.0,13.0,7.0,20.0,15.0,22.0,29.0,38.0
