Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,15767.0,15164.0,13893.0,15521.0,18662.0,17737.0,16012.0,16740.0,20419.0,18070.0,15635.0,17779.0,23063.0
Expenses,12695.0,12069.0,12028.0,13185.0,15340.0,14688.0,13461.0,13485.0,16305.0,15030.0,13618.0,14885.0,18456.0
Operating Profit,3073.0,3095.0,1865.0,2336.0,3322.0,3049.0,2551.0,3255.0,4114.0,3039.0,2017.0,2893.0,4608.0
OPM,19.0,20.0,13.0,15.0,18.0,17.0,16.0,19.0,20.0,17.0,13.0,16.0,20.0
Other Income,253.0,110.0,146.0,130.0,123.0,177.0,171.0,146.0,73.0,201.0,221.0,247.0,93.0
Interest,206.0,216.0,200.0,215.0,191.0,211.0,234.0,262.0,261.0,256.0,317.0,457.0,475.0
Depreciation,703.0,695.0,708.0,723.0,762.0,749.0,798.0,783.0,815.0,843.0,904.0,993.0,1125.0
Profit before tax,2416.0,2293.0,1103.0,1527.0,2492.0,2267.0,1690.0,2355.0,3111.0,2142.0,1017.0,1691.0,3101.0
Tax,-8.0,31.0,31.0,30.0,33.0,25.0,24.0,25.0,27.0,21.0,19.0,19.0,20.0
Net Profit,2614.0,1582.0,759.0,1063.0,1670.0,1690.0,1280.0,1775.0,2259.0,1695.0,825.0,1363.0,2475.0
EPS in Rs,90.78,54.87,26.18,36.66,57.71,58.49,44.39,61.55,78.22,58.77,28.4,47.09,84.23
Raw PDF,,,,,,,,,,,,,
