Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,274,274,274,274,275,275,275,289,289,289,289,289,289
Reserves,14955,16908,18767,21671,24117,26107,33476,38755,43886,50147,54036,59939,61076
Borrowings,7342,7332,9829,10616,8474,19480,25337,23019,21719,11299,11058,11403,16964
Other Liabilities,7010,7671,9183,8631,9343,11280,17438,17151,20282,22077,25998,29167,29282
Total Liabilities,29582,32185,38053,41193,42209,57141,76525,79214,86176,83811,91380,100797,107611
Fixed Assets,15050,18100,23343,25309,25904,39715,56645,57151,55412,55488,59579,62878,68042
CWIP,3601,2186,2250,1469,921,1511,1153,920,1687,4785,4040,6811,6410
Investments,4709,4862,4500,5095,6691,5447,2921,5929,12178,6336,7297,8249,7579
Other Assets,6222,7037,7961,9319,8693,10468,15806,15215,16900,17203,20464,22859,25579
Total Assets,29582,32185,38053,41193,42209,57141,76525,79214,86176,83811,91380,100797,107611
