Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,20514,20730,23306,25153,25375,30979,41462,42430,44726,52599,63240,70908,71317
Expenses,15674,16695,18881,20252,20162,24834,34115,33184,33158,41084,52620,57940,59261
Operating Profit,4839,4035,4425,4901,5212,6145,7347,9246,11568,11514,10620,12969,12056
OPM,24,19,19,19,21,20,18,22,26,22,17,18,17
Other Income,304,322,350,464,648,242,350,651,619,669,507,567,739
Interest,252,361,587,566,640,1238,1778,1992,1486,945,823,968,1216
Depreciation,1023,1139,1203,1377,1348,1848,2451,2723,2700,2715,2888,3145,3478
Profit before tax,3867,2858,2986,3421,3872,3301,3468,5183,8001,8524,7416,9422,8101
Tax,30,23,30,28,30,33,31,-11,32,14,32,26,8101
Net Profit,2688,2213,2102,2480,2714,2224,2400,5751,5462,7334,5073,7004,6252
EPS in Rs,97.66,80.44,76.47,90.3,98.9,80.92,87.51,199.4,189.26,254.42,175.41,242.65,216.29
Dividend Payout,9,11,12,11,10,13,13,7,20,15,22,29,216.29
