Financial Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,12985,15767,15164,13893,15521,18662,17737,16012,16740,20419,18070,15635,17193
Expenses,10566,12695,12069,12028,13185,15340,14688,13461,13485,16305,15030,13618,14307
Operating Profit,2419,3073,3095,1865,2336,3322,3049,2551,3255,4114,3039,2017,2886
OPM,19,19,20,13,15,18,17,16,19,20,17,13,17
Other Income,71,253,110,146,130,123,177,171,146,73,201,221,244
Interest,182,206,216,200,215,191,211,234,262,261,256,317,382
Depreciation,674,703,695,708,723,762,749,798,783,815,843,904,917
Profit before tax,1634,2416,2293,1103,1527,2492,2267,1690,2355,3111,2142,1017,1832
Tax,-5,-8,31,31,30,33,25,24,25,27,21,19,20
Net Profit,1710,2614,1582,759,1063,1670,1690,1280,1775,2259,1695,825,1474
EPS in Rs,59.16,90.78,54.87,26.18,36.66,57.71,58.49,44.39,61.55,78.22,58.77,28.4,50.9
