Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,44,44,42,41,41,43,87,87,181,181,181,181
Reserves,826,972,1096,1321,1538,2587,2892,3416,4335,4739,5109,5424
Borrowings,1039,1202,1292,1564,2083,2401,2098,2857,2587,2907,3242,3847
Other Liabilities,760,719,538,573,730,826,1256,1282,748,754,1084,1662
Total Liabilities,2670,2938,2966,3499,4391,5858,6332,7642,7851,8581,9616,11114
Fixed Assets,826,967,1246,1697,1998,2147,2468,3593,3595,4861,5649,6556
CWIP,117,193,313,270,436,795,1418,1298,1346,1096,1229,1274
Investments,117,139,41,47,47,33,37,64,28,17,23,48
Other Assets,1609,1639,1366,1486,1910,2884,2409,2688,2882,2607,2714,3236
Total Assets,2670,2938,2966,3499,4391,5858,6332,7642,7851,8581,9616,11114
