Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,1756.0,1610.0,1685.0,1668.0,1656.0,1414.0,1454.0,1732.0,1773.0,1855.0,1628.0,1843.0,1949.0
Expenses,1417.0,1326.0,1418.0,1379.0,1403.0,1214.0,1221.0,1473.0,1489.0,1550.0,1431.0,1608.0,1681.0
Operating Profit,339.0,284.0,267.0,289.0,253.0,200.0,233.0,259.0,284.0,305.0,197.0,235.0,268.0
OPM,19.0,18.0,16.0,17.0,15.0,14.0,16.0,15.0,16.0,16.0,12.0,13.0,14.0
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.0,6.0,7.0,1.0,-3.0
Interest,31.0,45.0,44.0,47.0,33.0,40.0,58.0,54.0,59.0,64.0,62.0,85.0,64.0
Depreciation,77.0,72.0,73.0,82.0,84.0,89.0,93.0,97.0,98.0,102.0,108.0,111.0,113.0
Profit before tax,231.0,167.0,150.0,160.0,136.0,71.0,82.0,116.0,126.0,145.0,34.0,40.0,88.0
Tax,16.0,19.0,17.0,15.0,-10.0,1.0,-11.0,-7.0,-5.0,6.0,-53.0,-15.0,-9.0
Net Profit,194.0,136.0,124.0,137.0,149.0,70.0,91.0,124.0,132.0,137.0,52.0,46.0,96.0
EPS in Rs,5.34,3.75,3.42,3.77,4.11,1.93,2.51,3.42,3.64,3.78,1.43,1.27,2.65
Raw PDF,,,,,,,,,,,,,
