Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,10,10,10,10,10,10,10,10,10,10,10,10
Reserves,546,578,636,825,974,1063,1402,1624,1834,2175,2373,2616
Borrowings,58,61,82,19,13,4,1,25,121,861,1368,1466
Other Liabilities,166,203,228,324,259,231,215,239,420,484,626,738
Total Liabilities,779,852,955,1177,1256,1307,1629,1898,2385,3529,4377,4830
Fixed Assets,288,274,375,561,428,430,529,540,556,1646,1875,2742
CWIP,6,60,20,17,20,39,39,95,742,279,711,350
Investments,230,171,170,239,428,427,195,99,118,44,495,480
Other Assets,255,346,390,360,380,410,866,1163,969,1561,1296,1259
Total Assets,779,852,955,1177,1256,1307,1629,1898,2385,3529,4377,4830
