Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,409.0,398.0,419.0,564.0,697.0,491.0,472.0,500.0,602.0,524.0,519.0,606.0,701.0
Expenses,315.0,298.0,325.0,408.0,495.0,377.0,373.0,424.0,492.0,423.0,411.0,459.0,522.0
Operating Profit,94.0,99.0,94.0,156.0,202.0,114.0,98.0,76.0,110.0,100.0,107.0,147.0,179.0
OPM,23.0,25.0,22.0,28.0,29.0,23.0,21.0,15.0,18.0,19.0,21.0,24.0,26.0
Other Income,12.0,11.0,11.0,10.0,4.0,8.0,23.0,64.0,13.0,10.0,11.0,10.0,12.0
Interest,1.0,0.0,4.0,9.0,14.0,19.0,20.0,18.0,17.0,16.0,14.0,20.0,28.0
Depreciation,12.0,12.0,18.0,25.0,8.0,21.0,24.0,25.0,26.0,27.0,28.0,30.0,35.0
Profit before tax,94.0,97.0,83.0,131.0,184.0,82.0,77.0,97.0,79.0,68.0,77.0,108.0,127.0
Tax,20.0,24.0,30.0,19.0,26.0,25.0,22.0,20.0,11.0,25.0,23.0,23.0,25.0
Net Profit,75.0,74.0,58.0,107.0,136.0,62.0,61.0,78.0,70.0,51.0,59.0,84.0,95.0
EPS in Rs,15.17,15.02,11.67,21.5,27.5,12.41,12.22,15.74,14.19,10.32,11.86,16.86,19.15
Raw PDF,,,,,,,,,,,,,
