Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,51,51,51,51,51,51,51,51,51,51,51,51
Reserves,1901,2219,2587,3420,3523,4097,4405,5542,6353,7161,8356,9704
Borrowings,46,58,80,98,125,113,288,331,416,391,382,454
Other Liabilities,930,986,996,1202,1500,1643,1779,2890,2675,2902,3286,3803
Total Liabilities,2928,3315,3714,4770,5199,5904,6523,8814,9494,10505,12076,14011
Fixed Assets,729,978,1137,1275,1342,1448,1807,4418,4703,4914,5451,5705
CWIP,458,462,158,148,228,242,259,294,225,406,148,129
Investments,260,370,706,1443,1246,1548,1186,516,459,881,2235,3551
Other Assets,1481,1505,1713,1904,2383,2666,3270,3586,4107,4304,4242,4626
Total Assets,2928,3315,3714,4770,5199,5904,6523,8814,9494,10505,12076,14011
